4XM02171,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        28,                    ,2024/04/27
4XM02174,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        10,                    ,2024/04/30
4XM02179,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,       106,                    ,2024/05/07
4XM02175,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        27,                    ,2024/05/09
4XM02177,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        63,                    ,2024/05/07
4XM02169,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        60,                    ,2024/04/24
4XM02187,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        37,                    ,2024/05/23
4XM02193,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        14,                    ,2024/06/06
4XM02196,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        48,                    ,2024/06/11
4XM02173,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        18,                    ,2024/06/11
4XM02200,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        26,                    ,2024/06/20
4XM02188,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        12,                    ,2024/05/22
4XM02189,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        31,                    ,2024/05/25
4XM02206,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        67,                    ,2024/06/27
4XM02212,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        18,                    ,2024/07/15
4XM02213,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        18,                    ,2024/07/11
4XM02215,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        37,                    ,2024/07/16
